# MNN conv-specialization — fill ONE ROW PER CONV, in EXECUTION ORDER.,,,,,,,,,
#,,,,,,,,,,
# Fixed for every conv (so they are NOT columns): kernel = 3x3,group = 1,,,,,,,,,
# dilation = 1,batch = 1. Only what varies per conv is below.,,,,,,,,,
#,,,,,,,,,,
# Column meanings:,,,,,,,,,,
#   idx        execution order,starting at 1,,,,,,,,,
"#   label      your own name for the conv (optional) e.g. ""stem""","""blockB_conv3""",,,,,,,,,
#   cin        input channels,,,,,,,,,,
#   cout       output channels,,,,,,,,,,
#   H          INPUT height to this conv (rows)   -- output H is derived from stride,,,,,,,,,,
#   W          INPUT width  to this conv (cols)   -- output W is derived from stride,,,,,,,,,,
#   stride     1 or 2,,,,,,,,,,
"#   pad        zero-padding on each side (3x3 ""same"" is usually 1; ""valid"" is 0)",,,,,,,,,,
#   has_prelu  1 if this conv is immediately followed by per-channel PReLU,else 0,,,,,,,,,
#   input_from idx of the conv whose OUTPUT feeds this conv's input.,,,,,,,,,,
"#              Use ""input"" for the model's raw input (the Y-plane stem).",,,,,,,,,,
#              If the input is a residual-add or concat of two sources, list both,,,,,,,,,
"#              e.g. ""5+8""  (this is what lets me find fusable consecutive runs",,,,,,,,,,
#              and place the 2 blocks of 6 no-PReLU convs).,,,,,,,,,,
#   notes      anything else: residual add, concat, this output is also consumed,,,,,,,,
#              later by conv N, branch point, network output, etc.,,,,,,,
#,,,,,,,,,,
# The idx=1 row below is the known Y-plane stem, pre-filled as an example —,,,,,,,,,
# correct it if wrong, then continue. Add as many rows as needed.,,,,,,,,,
idx,label,cin,cout,H,W,stride,pad,has_prelu,input_from,notes
1,Block1,18,16,288,384,2,1,1,Submodel inputs,Y-plane single-channel input
2,,16,32,144,192,2,1,1,,
3,,32,32,72,96,1,1,1,,
4,,32,32,72,96,1,1,1,,
5,,32,32,72,96,1,1,1,,
6,,32,32,72,96,1,1,1,,
7,,32,32,72,96,1,1,1,,
8,,32,32,72,96,1,1,1,,
9,,,,,,,,,,
10,Block2,34,32,144,192,2,1,1,Submodel inputs,
11,,32,48,72,96,2,1,1,,
12,,48,48,36,48,1,1,1,,
13,,48,48,36,48,1,1,1,,
14,,48,48,36,48,1,1,1,,
15,,48,48,36,48,1,1,1,,
16,,48,48,36,48,1,1,1,,
17,,48,48,36,48,1,1,1,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
# Blocks 3-5: stride-2 downsample pyramid (added for stride-2 coverage),,,,,,,,,,
"# each block = conv s2 (halves H/W, doubles C) + conv s1 at the reduced size.",,,,,,,,,,
# They chain: 3 out -> 4 in -> 5 in. 3x3/pad=1 throughout.,,,,,,,,,,
31,Block3,1,8,576,768,2,1,0,input,"[1,1,576,768] -> [1,8,288,384]"
32,,8,8,288,384,1,1,0,31,"[1,8,288,384] -> [1,8,288,384]"
33,Block4,8,16,288,384,2,1,0,32,"[1,8,288,384] -> [1,16,144,192]"
34,,16,16,144,192,1,1,0,33,"[1,16,144,192] -> [1,16,144,192]"
35,Block5,16,32,144,192,2,1,0,34,"[1,16,144,192] -> [1,32,72,96]"
36,,32,32,72,96,1,1,0,35,"[1,32,72,96] -> [1,32,72,96]"
# Block96: the 96-channel level -- same head+core composition as Block1/Block2.,,,,,,,,,,
# Chain: 64->64@72x96 s2 -> 64->96@36x48 s2 -> 6x 96->96@18x24 s1.,,,,,,,,,,
37,Block96,64,64,72,96,2,1,1,Submodel inputs,head64 + core96 level (2 stride-2 + 6-deep stride-1 core)
38,,64,96,36,48,2,1,1,,"[1,64,36,48] -> [1,96,18,24]"
39,,96,96,18,24,1,1,1,,
40,,96,96,18,24,1,1,1,,
41,,96,96,18,24,1,1,1,,
42,,96,96,18,24,1,1,1,,
43,,96,96,18,24,1,1,1,,
44,,96,96,18,24,1,1,1,,
